Epoch,Training Loss,Validation Loss,IoU,Dice,Pixel Accuracy,Precision,Recall,Specificity
70,0.07845987627903621,0.10056570669015248,"tensor(0.8600, device='cuda:0')","tensor(0.9246, device='cuda:0')","tensor(0.9619, device='cuda:0')","tensor(0.9407, device='cuda:0')","tensor(0.9094, device='cuda:0')","tensor(0.9802, device='cuda:0')"
71,0.07830129563808441,0.10025222599506378,"tensor(0.8605, device='cuda:0')","tensor(0.9249, device='cuda:0')","tensor(0.9620, device='cuda:0')","tensor(0.9393, device='cuda:0')","tensor(0.9112, device='cuda:0')","tensor(0.9797, device='cuda:0')"
72,0.07870436956485112,0.1006443202495575,"tensor(0.8603, device='cuda:0')","tensor(0.9248, device='cuda:0')","tensor(0.9616, device='cuda:0')","tensor(0.9291, device='cuda:0')","tensor(0.9208, device='cuda:0')","tensor(0.9757, device='cuda:0')"
73,0.07852034353547627,0.10030174752076466,"tensor(0.8608, device='cuda:0')","tensor(0.9251, device='cuda:0')","tensor(0.9621, device='cuda:0')","tensor(0.9385, device='cuda:0')","tensor(0.9123, device='cuda:0')","tensor(0.9794, device='cuda:0')"
74,0.07814289629459381,0.09982827802499135,"tensor(0.8614, device='cuda:0')","tensor(0.9254, device='cuda:0')","tensor(0.9621, device='cuda:0')","tensor(0.9359, device='cuda:0')","tensor(0.9154, device='cuda:0')","tensor(0.9784, device='cuda:0')"
75,0.07805118875371085,0.09996143976847331,"tensor(0.8613, device='cuda:0')","tensor(0.9254, device='cuda:0')","tensor(0.9620, device='cuda:0')","tensor(0.9345, device='cuda:0')","tensor(0.9166, device='cuda:0')","tensor(0.9778, device='cuda:0')"
76,0.07774993197785483,0.10030300170183182,"tensor(0.8605, device='cuda:0')","tensor(0.9249, device='cuda:0')","tensor(0.9622, device='cuda:0')","tensor(0.9431, device='cuda:0')","tensor(0.9076, device='cuda:0')","tensor(0.9811, device='cuda:0')"
77,0.07754267669386333,0.10074130197366078,"tensor(0.8596, device='cuda:0')","tensor(0.9244, device='cuda:0')","tensor(0.9621, device='cuda:0')","tensor(0.9490, device='cuda:0')","tensor(0.9012, device='cuda:0')","tensor(0.9833, device='cuda:0')"
78,0.07732238372166951,0.09998506059249242,"tensor(0.8614, device='cuda:0')","tensor(0.9254, device='cuda:0')","tensor(0.9623, device='cuda:0')","tensor(0.9410, device='cuda:0')","tensor(0.9106, device='cuda:0')","tensor(0.9803, device='cuda:0')"
79,0.0772840819425053,0.09978343049685161,"tensor(0.8616, device='cuda:0')","tensor(0.9255, device='cuda:0')","tensor(0.9622, device='cuda:0')","tensor(0.9374, device='cuda:0')","tensor(0.9141, device='cuda:0')","tensor(0.9789, device='cuda:0')"
